X,Y
13.39799066,251.0125322
15.23402408,253.73076
18.28958795,256.4563245
18.90609091,259.1672157
22.56468228,259.1892256
23.777475,256.4893394
26.20979817,253.7967898
28.03909385,253.8077948
30.4848925,256.529691
33.54719411,261.9624783
34.76672456,261.9698149
37.82902617,267.4026023
38.42531593,261.9918249
40.85090136,256.5920525
42.03000539,240.356052
42.00305444,229.5271606
43.21584716,226.8272744
44.4151644,218.7129424
44.37473798,202.4696053
44.97102773,197.0588279
46.7801102,188.9481643
47.9726897,178.1266096
48.56897946,172.7158322
49.7682967,164.6015003
52.19388213,159.2017279
54.62620531,156.5091783
55.2292328,153.8056238
57.64134276,142.9914056
58.85413547,140.2915194
58.85413547,140.2915194
62.45882494,118.6557465
60.05345272,132.1771875
61.2595077,126.7700785
62.45882494,118.6557465
66.09720309,110.5560879
68.54300174,113.2779841
69.77600767,118.6997664
70.38577289,118.7034347
72.22854405,124.1288854
74.05110199,121.4326675
75.26389471,118.7327813
75.8669222,116.0292268
77.07971492,113.3293406
78.90227286,110.6331227
81.33459604,107.9405732
83.76691921,105.2480236
85.58947715,102.5518057
88.02853806,102.566479
89.86457148,105.2847068
89.87130922,107.9919297
91.11779062,118.8281578
91.74103132,124.2462718
92.98077499,132.375277
94.21378092,137.7970594
96.0430766,137.8080643
97.24913158,132.4009553
98.45518656,126.9938462
99.6545038,118.8795143
100.2440558,110.761514
100.8403456,105.3507367
100.8201324,97.2290681
102.6359526,91.82562736
103.2255046,83.70762712
104.445035,83.71496377
106.2743307,83.72596874
107.4871234,81.02608253
109.2962059,72.91541894
111.1255016,72.92642391
111.7352668,72.93009223
112.9547973,72.93742888
116.0103611,75.66299335
116.0103611,75.66299335
119.065925,78.38855782
120.2854555,78.39589447
122.7245164,78.41056777
123.9507846,81.12512727
125.786818,83.84335509
125.8002935,89.2578008
125.8272444,100.0866922
126.4572229,108.2120291
125.8609331,113.6228065
125.8946218,127.1589208
126.5111248,129.8698119
127.1478409,140.7023717
128.9771366,140.7133767
130.2168803,148.8423819
131.4431485,151.5569414
132.6694167,154.2715009
134.5189256,162.4041744
135.1556417,173.2367341
135.7856202,181.362071
136.4021231,184.0729622
137.6351291,189.4947446
140.0809277,192.2166407
141.9102234,192.2276457
143.1364916,194.9422052
144.3627598,197.6567647
146.1987932,200.3749925
148.0415644,205.8004432
149.8775978,208.518671
151.0971282,208.5260077
152.9264239,208.5370126
153.5564023,216.6623495
156.0224142,227.5059142
156.6456549,232.9240283
157.2486824,230.2204737
159.0779781,230.2314787
159.6675301,222.1134785
160.8803228,219.4135923
162.0998533,219.4209289
163.9156735,214.0174882
165.7517069,216.735716
166.3345212,205.9104929
166.9240732,197.7924927
168.7601066,200.5107205
169.3698718,200.5143888
171.8224082,205.9435078
173.0419387,205.9508445
174.2614691,205.9581811
176.7072678,208.6800773
177.317033,208.6837456
178.5365635,208.6910822
180.3658591,208.7020872
181.5853896,208.7094238
183.421423,211.4276517
184.6476912,214.1422112
185.8604839,211.442325
187.0665389,206.0352159
187.6628287,200.6244385
189.4786489,195.2209978
190.6779661,187.1066659
192.527475,195.2393394
193.1574534,203.3646763
194.3904594,208.7864586
196.2332305,214.2119093
197.452761,214.219246
199.8850841,211.5266964
201.0911391,206.1195874
202.2971941,200.7124783
203.5032491,195.3053692
205.9557855,200.7344882
207.2090046,214.2779392
207.8457208,225.1104989
209.0854645,233.2395041
209.7087052,238.6576181
210.9484488,246.7866233
211.585165,257.6191831
212.8316464,268.4554112
214.687893,279.2953075
215.920899,284.7170899
217.1404294,284.7244265
219.5862281,287.4463227
220.202731,290.1572139
222.6485297,292.87911
223.8882733,301.0081152
224.5047763,303.7190064
226.3273343,301.0227885
227.540127,298.3229023
228.7327065,287.5013475
228.6990178,273.9652333
229.2750943,260.4327873
231.6804666,246.9113463
231.6737288,244.2041235
232.8865215,241.5042373
233.4828113,236.0934599
235.2986315,230.6900192
236.5181619,230.6973558
236.4844733,217.1612415
237.697266,214.4613553
238.286818,206.3433551
240.7124034,200.9435827
241.9251961,198.2436965
243.1379889,195.5438103
244.9672845,195.5548152
246.803318,198.2730431
247.39287,190.1550428
247.3793945,184.7405971
249.188477,176.6299335
249.7847667,171.2191561
250.3743187,163.1011559
252.1968767,160.404938
255.2457028,160.4232796
254.6359376,160.4196113
256.4652333,160.4306163
258.2877912,157.7343984
258.2743157,152.3199527
261.9329071,152.3419626
263.7756783,157.7674133
264.9952087,157.77475
266.2349524,165.9037552
269.297254,171.3365425
271.1265497,171.3475475
273.5925615,182.1911122
274.8323052,190.3201174
275.4555459,195.7382314
277.2983171,201.1636821
278.5178475,201.1710187
280.9636462,203.8929149
282.7862041,201.196697
284.6020243,195.7932563
285.8013416,187.6789244
287.6036863,176.8610379
289.4262442,174.16482
290.6525124,176.8793795
291.8855184,182.3011619
293.1185243,187.7229442
295.5643229,190.4448404
298.0168593,195.8739594
299.8528927,198.5921872
301.6821884,198.6031922
301.6687129,193.1887465
303.4912709,190.4925286
304.7108013,190.4998652
305.9303318,190.5072019
307.7596275,190.5182069
308.9858957,193.2327664
309.5956609,193.2364347
310.7815027,179.7076571
312.0145086,185.1294394
313.8640175,193.262113
315.1037612,201.3911182
316.3232916,201.3984548
316.95327,209.5237917
318.7960412,214.9492424
320.0088339,212.2493562
322.4546326,214.9712523
324.3108792,225.8111487
325.5438851,231.2329311
326.7499401,225.825822
328.5724981,223.1296041
330.4085315,225.8478319
331.0452476,236.6803917
332.8610679,231.2769509
333.4438821,220.4517279
336.5129215,228.591738
337.7526651,236.7207432
340.1782506,231.3209708
342.0479727,247.5753129
343.9109571,261.1224322
345.143963,266.5442145
345.7806792,277.3767743
348.2332155,282.8058933
348.2534288,290.9275618
349.4999102,301.7637899
350.1298886,309.8891268
352.5891627,318.0254686
353.8289064,326.1544739
355.6649398,328.8727017
356.9046835,337.0017069
358.1444271,345.1307121
360.5902258,347.8526083
363.0292867,347.8672815
364.2420794,345.1673953
364.8248937,334.3421722
366.6474516,331.6459544
367.2572169,331.6496227
368.4969605,339.7786279
370.3195185,337.08241
371.5255735,331.675301
372.7383662,328.9754147
374.5541864,323.571974
376.4036953,331.7046475
378.8697071,342.5482123
379.4457837,329.0157663
380.6383632,318.1942115
382.4609211,315.4979937
383.6737138,312.7981074
386.1262502,318.2272264
387.3525184,320.9417859
388.5855243,326.3635683
391.0178475,323.6710187
392.8404055,320.9748009
394.0531982,318.2749147
395.2592532,312.8678056
395.8488052,304.7498054
397.0481224,296.6354734
398.2676529,296.6428101
399.4804456,293.9429239
402.5292717,293.9612655
403.7555399,296.675825
405.5444092,280.4434928
406.7639396,280.4508295
407.3737049,280.4544978
409.7858148,269.6402797
409.7858148,269.6402797
410.9986075,266.9403935
412.8144277,261.5369527
415.2534887,261.551626
417.6790741,256.1518536
418.8918668,253.4519674
419.4544679,234.5050758
420.0574954,231.8015212
423.0995838,229.11264
426.7649129,231.8418728
