Threat Id,,,,Latitude,Longitude,Altitude,Latitude(Predicted),Longitude(Predicted),Altitude(Predicted)
3633,,,,42.834137252373608,-71.76572206,6403,42.835059183393447,-71.7706508,6440
3766,,,,42.446891882097894,-70.78063828,7008,42.452601832661188,-70.77215263,7063
3704,,,,,,,,,
3641,,,,42.66885062443621,-71.42153426,1471,42.67010150411879,-71.42139931,1518
3707,,,,42.570279414091537,-71.37973373,1797,42.572145853141947,-71.37981316,1836
3709,,,,42.600086250098016,-71.45680192,1435,42.599923552857916,-71.45519619,1486
3784,,,,42.493016788009726,-71.31058537,1254,42.495675367646122,-71.3068762,1350
3786,,,,42.421024411792352,-71.34261418,10508,42.426075798017727,-71.33492739,10539
3726,,,,42.772519626740852,-71.98514519,5243,42.776157568706111,-71.98209247,5253
3794,,,,42.286140361183655,-71.33828497,3889,42.284167052109275,-71.34136714,3740
3797,,,,42.321132397305568,-71.24789508,4228,42.319187022853569,-71.25220163,4244
3606,,,,42.799559637653715,-71.43218791,5240,42.800136166542949,-71.43780857,5142
3799,,,,42.620735127553587,-71.49111858,955,42.621425689231486,-71.49173445,964
3743,,,,42.595074758492764,-71.59868584,578,42.594772173543227,-71.59829026,585
3618,,,,42.546597298289036,-71.50548431,4010,42.546679730200914,-71.50476279,4007
3747,,,,42.504697370201924,-71.36384897,1505,42.504748519421568,-71.36142439,1494
3749,,,,42.447868191558285,-70.93362623,4518,42.448119708739853,-70.92940539,4967
3753,,,,42.267261753345345,-71.46646722,4854,42.265900822581905,-71.47107813,4822
1006,,,,42.584547426533874,-71.6276574,566,42.584353805521737,-71.62738079,563
3633,,,,42.834702721426581,-71.76640392,6364,42.835756791952562,-71.77104485,6389
3766,,,,42.446891882097894,-70.78063828,7008,42.452601832661188,-70.77215263,7063
3704,,,,,,,,,
3641,,,,42.669403262790325,-71.42114955,1553,42.670425625194511,-71.42086183,1614
3707,,,,42.571218502793172,-71.37946369,1547,42.57276204,-71.37943358,1492
3709,,,,42.60020752,-71.45630363,1379,42.60016437511706,-71.45469154,1405
3784,,,,42.494589102408078,-71.3080264,1303,42.49706764,-71.30440977,1393
3786,,,,42.425722150749948,-71.337135,10733,42.431277158232206,-71.32944482,10832
3726,,,,42.773896382456371,-71.98420271,5181,42.777330111060316,-71.98140241,5174
3794,,,,42.285118629409205,-71.34065725,4118,42.282766956172445,-71.34452511,4048
3797,,,,42.322122977222996,-71.24766025,4012,42.321402453870967,-71.25038307,3988
3606,,,,42.800305356288824,-71.43589979,5172,42.801165152339806,-71.44214745,5071
3799,,,,42.620735127553587,-71.49111858,955,42.621425689231486,-71.49173445,964
3743,,,,42.595003041241924,-71.59865932,580,42.594695237625629,-71.59839329,587
3618,,,,42.54654557,-71.50525568,4018,42.546628000202467,-71.50453416,4015
3747,,,,42.506050162847842,-71.36258635,1432,42.506721474866112,-71.35982538,1403
3749,,,,42.447868191558285,-70.93362623,4518,42.448119708739853,-70.92940539,4967
3753,,,,42.266718836597008,-71.46847987,4852,42.265196826963546,-71.47371021,4824
1006,,,,42.58451491,-71.62754913,568,42.584388,-71.62731572,568
3633,,,,42.834788123638134,-71.76988728,6401,42.835693850182345,-71.77502895,6432
3766,,,,42.448502032220148,-70.7736486,7229,42.453036571625908,-70.76533857,7335
3704,,,,,,,,,
3641,,,,42.66964516437617,-71.42117171,1643,42.670678255314279,-71.42092675,1728
3707,,,,42.571218502793172,-71.37946369,1547,42.57276204,-71.37943358,1492
3709,,,,42.600776653583765,-71.45568906,1372,42.601169054400764,-71.4541837,1391
3784,,,,42.494589102408078,-71.3080264,1303,42.49706764,-71.30440977,1393
3786,,,,42.426491670351005,-71.33618873,10824,42.431533167455179,-71.32915267,10939
3726,,,,42.774310861930438,-71.98391412,5186,42.777548044984094,-71.9813177,5179
3794,,,,42.285118629409205,-71.34065725,4118,42.282766956172445,-71.34452511,4048
3797,,,,42.322122977222996,-71.24766025,4012,42.321402453870967,-71.25038307,3988
3606,,,,42.800662148768467,-71.43784249,5119,42.801589469202689,-71.44426927,5013
3799,,,,42.620735127553587,-71.49111858,955,42.621425689231486,-71.49173445,964
3743,,,,42.594956150182711,-71.59861787,553,42.594640335600538,-71.5984645,545
3618,,,,42.546838573062224,-71.50494988,4019,42.547019157851892,-71.50436514,4042
3747,,,,42.506050162847842,-71.36258635,1432,42.506721474866112,-71.35982538,1403
3749,,,,42.520490239788636,-71.5435011,643,42.520882039672607,-71.54357542,726
3753,,,,42.266166995675604,-71.47023337,4828,42.264779252828774,-71.47494154,4796
1006,,,,42.58444429800479,-71.62749219,576,42.584330321726732,-71.6273998,584
3633,,,,42.834472570616335,-71.77259584,6474,42.835155081985825,-71.77828748,6519
3766,,,,42.448502032220148,-70.7736486,7229,42.453036571625908,-70.76533857,7335
3704,,,,,,,,,
3641,,,,42.671167303143839,-71.42195522,1694,42.672743395480609,-71.42220945,1782
3707,,,,42.571218502793172,-71.37946369,1547,42.57276204,-71.37943358,1492
3709,,,,42.60097981248061,-71.45524274,1337,42.601441343729206,-71.45372308,1341
3784,,,,42.494589102408078,-71.3080264,1303,42.49706764,-71.30440977,1393
